transaction_id,customer_id,product,quantity,price,date,total_amount
T001,C101,Laptop,1,75000.0,2026-08-18,75000.0
T002,C102,Mouse,2,800.0,2026-08-18,1600.0
T003,C101,Keyboard,1,2500.0,2026-08-18,2500.0
T004,C103,Monitor,2,15000.0,2026-08-18,30000.0
T005,C102,Headphones,1,3000.0,2026-08-18,3000.0
T006,C104,Webcam,1,4500.0,2026-08-18,4500.0
T007,C101,Mouse,3,800.0,2026-08-18,2400.0
T008,C105,Keyboard,2,2500.0,2026-08-18,5000.0
T009,C103,Laptop,1,75000.0,2026-08-18,75000.0
T010,C104,Mouse,5,800.0,2026-08-18,4000.0
